层级,优先级,账号名,分类,监控用途,备注
S,⭐⭐⭐,小小101,韩系顶流,看大盘色系趋势,
S,⭐⭐⭐,晨妍,韩系顶流,看版型风格方向,
S,⭐⭐⭐,美洋MEIYANG,韩系顶流,月度主流判断,
A,⭐⭐⭐,刘一一Cocozone,品牌店铺,品牌运营+选款,COCO ZONE
A,⭐⭐⭐,ROMI STUDIO,品牌店铺,品牌化打法,
A,⭐⭐⭐,DH OFFICIAL 大花,韩系穿搭,风格对标,大花韩系穿搭
A,⭐⭐⭐,小谷粒,女装店铺,选款数据对标,
A,⭐⭐,呦妮姐姐全球购,韩国购,韩国款式,
B,⭐⭐⭐,东大门欧尼社,韩国档口,新款源头监控,🔥核心
B,⭐⭐⭐,Pale Seoul 南城3楼加30档,韩国档口,东大门新款,🔥核心
B,⭐⭐⭐,apm米悦服饰,APM档口,韩国APM源头,🔥核心
B,⭐⭐⭐,包子姐姐东大门,东大门,东大门款式,
B,⭐⭐,SHENG STUDIO丶Korea,韩国工作室,韩国款式,
B,⭐⭐,Seoul mood,韩国风,韩风参考,
B,⭐⭐,欧尼 studio 韩系穿搭,韩系穿搭,搭配灵感,
B,⭐⭐⭐,CNC. 濮院国贸8308,濮院档口,濮院毛衣源头,🔥同行！
B,⭐⭐⭐,濮院美鱼家.主理人,濮院工厂,濮院工厂对标,🔥同行！
B,⭐⭐⭐,濮院 Potato.洋芋🥔,濮院档口,濮院款参考,
B,⭐⭐⭐,濮院 Dumpling 饺子家 LOOK,濮院档口,濮院款式,
B,⭐⭐,濮阮卤页 AT.TH8,濮院档口,濮院源,
B,⭐⭐,濮院 sheep.芝士,濮院档口,濮院源,
B,⭐⭐,濮院世贸 AS 艾搜,濮院世贸,濮院源,
B,⭐⭐⭐,金马毛衣的圆圆,毛衣专营,毛衣品类垂直对标,🔥核心
B,⭐⭐⭐,Zz 毛衣针织,毛衣针织,针织品类,🔥核心
B,⭐⭐⭐,色芝嵄艺术针织灵感供应链,针织供应链,针织源头,产业链参考
B,⭐⭐,金花羊绒,羊绒针织,高端针织参考,
C,⭐⭐,Nova 新意法 313-314,意法档口,杭州意法源头,
C,⭐⭐,意法 About moon.,意法档口,意法款式,
C,⭐⭐,老意法 Hug6110,意法档口,意法源头,
C,⭐,Tomorrow 华茂 C003 言小言,档口,源头款,
C,⭐⭐,两美元,韩系穿搭,风格参考,
C,⭐⭐,陳小姐穿搭日记,穿搭博主,日常韩系,
C,⭐⭐,子期在路上✨,穿搭博主,生活穿搭,
C,⭐⭐,彩虹欧尼,韩系欧尼,韩风参考,
C,⭐⭐,时一穿搭,穿搭博主,搭配参考,
C,⭐⭐,Cocooootd,穿搭博主,OOTD参考,
C,⭐⭐,Lilian日常穿搭,穿搭博主,日常参考,
C,⭐,牛牛的穿搭经,穿搭博主,搭配参考,
C,⭐,爱拍照的小谷,穿搭博主,参考,
C,⭐,Mollys Daily,日常穿搭,参考,
C,⭐,jojo 快乐日记,穿搭博主,参考,
C,⭐⭐,UOOV,品牌店铺,韩系品牌,
C,⭐⭐,HONGYUAN 虹源,服装品牌,款式参考,
C,⭐⭐,TEA.H 茶壶,服装品牌,品牌参考,
C,⭐⭐,ONEYAN HIF,品牌,品牌参考,
C,⭐⭐,富真.FuZen,品牌,品牌参考,
C,⭐⭐,似锦 SIJIN,品牌,品牌参考,
C,⭐⭐,Blanc白先生,品牌,简约风格,
C,⭐⭐,Sameen门门,品牌,品牌参考,
C,⭐,Liberties_Tang,品牌,参考,
C,⭐⭐,十七讲服装,服装知识,行业知识学习,
C,⭐⭐,艾哥看女装,女装观察,行业观察,
C,⭐⭐,vicky时装笔记,时装笔记,趋势笔记,
C,⭐⭐,服装设计师 Hina,设计师,设计灵感,
C,⭐,张奶奶快去拆快递,开箱测评,产品测评,
C,⭐,蝶讯网趋势推荐官水泉,趋势资讯,趋势参考,
C,⭐,服装品牌设计企划 Miss 刘,设计企划,企划参考,
C,⭐,多米 DomiAmor,穿搭,参考,
C,⭐,白茶,穿搭,参考,
C,⭐,bunny wear,品牌,参考,
C,⭐,牛牛家韩系女装,韩系女装,参考,
C,⭐,Nancy.南茜,穿搭,参考,
C,⭐,PEANUT 花生,品牌,参考,
C,⭐,SDesign 设计感-主号,设计师,参考,
C,⭐,En+ Choose U 恩家,店铺,参考,
C,⭐,UNI自由牙衣,店铺,参考,
C,⭐,张可心 Kiki,穿搭,参考,
C,⭐,GiGiDaily,日常,参考,
C,⭐,尚格-,品牌,参考,
C,⭐,米米d分享,分享,参考,
C,⭐,希芮 Cirui-服装供应链,供应链,参考,
C,⭐,The Barnnet女装,女装,参考,
C,⭐,ZYNNI,品牌,参考,
C,⭐,primary 最初,品牌,参考,
C,⭐,Um 有米 123,店铺,参考,
