层级,优先级,账号名,分类,监控用途,备注
S,⭐⭐⭐,小小101,千万粉头部,韩系顶流，看大盘趋势方向色系,
S,⭐⭐⭐,晨妍,千万粉头部,韩系顶流，看月度主流风格版型,
S,⭐⭐⭐,千屿sheila,千万粉头部,韩系顶流，判断市场热度,
S,⭐⭐⭐,美洋MEIYANG,千万粉头部,韩系顶流，把控色系趋势,
A,⭐⭐⭐,在韩国的星球球,韩国源头,韩国实拍，款式源头参考,重点
A,⭐⭐⭐,喜总来了服饰,女装店铺,爆款选款对标,
A,⭐⭐⭐,七言家女装,女装店铺,款式数据对标,
A,⭐⭐⭐,张大人定制,女装定制,定制款对标，看定价策略,
A,⭐⭐⭐,呦妮韩国女装,韩国女装,韩国款式源头,
A,⭐⭐⭐,嘿嘿服饰,女装店铺,爆款选款参考,
A,⭐⭐⭐,韩系欧尼穿搭,韩系穿搭,韩系搭配灵感,
A,⭐⭐⭐,金雅韩国小姐姐,韩国穿搭,韩国博主趋势,
A,⭐⭐⭐,大花韩系穿搭,韩系穿搭,韩系风格参考,
A,⭐⭐,ROMI STUDIO,品牌店铺,品牌化运营参考,
A,⭐⭐,COC ZONE女装,女装店铺,选款数据对标,
A,⭐⭐,隋心女装,女装店铺,中端价位对标,
A,⭐⭐,几里与麻,简约女装,简约风格对标，风格接近TEMPL,重点
A,⭐⭐,小谷粒女装,女装店铺,选款参考,
B,⭐⭐⭐,小申在韩国,韩国档口,新款首发源头，3-7天上新,核心监控
B,⭐⭐⭐,YoyoStyle韩系,韩国档口,新款首发，高利润潜力,核心监控
B,⭐⭐⭐,首尔欧尼日记,韩国档口,韩国穿搭趋势,
B,⭐⭐⭐,东大门老板娘,东大门档口,东大门源头新款,核心监控
B,⭐⭐⭐,韩代娜娜,韩国代购,韩国新款实拍,
B,⭐⭐,首尔档口实拍,档口实拍,一手款式图,
B,⭐⭐,韩国东大门直邮,东大门,源头款式,
B,⭐⭐,韩系档口小姐姐,档口实拍,新款参考,
B,⭐⭐,首尔李知恩,韩国档口,韩国穿搭参考,
B,⭐⭐,东大门美购,东大门,源头款式,
B,⭐⭐,韩淘网女装,韩国女装,款式发现,
B,⭐⭐,东大门实时直播,东大门直播,实时新款趋势,
B,⭐⭐,首尔流行速递,韩国趋势,流行风向,
B,⭐⭐,韩系直邮小铺,韩国直邮,新款发现,
B,⭐⭐,东大门一手货源,一手货源,源头款式,
B,⭐⭐,首尔韩代小姐姐,韩国代购,新款监控,
B,⭐⭐,东大门小姐姐,东大门,款式参考,
B,⭐⭐,韩代智雅,韩国代购,新款发现,
B,⭐⭐,首尔初夏韩系,韩国档口,韩系款式,
B,⭐⭐,东大门七七实拍,东大门实拍,源头款图,
B,⭐⭐,韩国多恩穿搭,韩国穿搭,搭配参考,
C,⭐⭐,韩系通勤女神,极简通勤,高质感简约风，与TEMPL风格近,重点
C,⭐⭐,气质韩系欧尼,极简气质,简约高级感参考,
C,⭐⭐,高级感韩系风,高级极简,质感方向对标,
C,⭐⭐,极简韩系通勤,极简风格,极简设计参考,重点
C,⭐⭐,优雅韩系姐姐,优雅韩系,熟龄简约风,
C,⭐⭐,通勤韩系日记,通勤韩系,日常简约参考,
C,⭐⭐,知性韩系穿搭,知性简约,设计感参考,
C,⭐⭐,简约气质韩系,简约气质,纯简约风格,重点
C,⭐,轻熟韩系衣橱,轻熟简约,轻熟风格参考,
C,⭐,简约韩系通勤,简约通勤,通勤简约款,
